word,value,year
judah,4,1994
king,25,1994
kingdom,7,1994
know,20,1994
lamb,5,1994
land,175,1994
let,34,1994
life,21,1994
like,38,1994
lord,515,1994
love,29,1994
male,3,1994
man,74,1994
men,23,1994
month,4,1994
moses,36,1994
mother,11,1994
mouth,6,1994
offering,13,1994
old,4,1994
people,92,1994
pharaoh,7,1994
praise,4,1994
priest,7,1994
prophet,11,1994
reign,2,1994
sacrifice,14,1994
said,61,1994
saw,15,1994
say,35,1994
says,2,1994
seen,6,1994
sent,5,1994
servant,7,1994
sin,10,1994
solomon,0,1994
son,41,1994
sovereign,2,1994
speak,4,1994
spirit,2,1994
taken,8,1994
tell,8,1994
thing,28,1994
tribe,14,1994
wa,46,1994
went,13,1994
wife,19,1994
word,33,1994
year,20,1994
aaron,6,1995
almighty,0,1995
altar,13,1995
babylon,0,1995
burnt,6,1995
came,37,1995
christ,0,1995
city,71,1995
come,26,1995
commanded,29,1995
daughter,3,1995
daughters,2,1995
david,0,1995
day,49,1995
declares,0,1995
descendant,16,1995
doe,2,1995
father,12,1995
given,26,1995
goat,0,1995
god,74,1995
grain,3,1995
ha,39,1995
hand,16,1995
hear,3,1995
heart,8,1995
israel,93,1995
jeremiah,0,1995
jerusalem,8,1995
jesus,0,1995
judah,22,1995
king,98,1995
kingdom,1,1995
know,12,1995
lamb,0,1995
land,83,1995
let,12,1995
life,6,1995
like,4,1995
lord,210,1995
love,2,1995
male,1,1995
man,13,1995
men,52,1995
month,2,1995
moses,56,1995
mother,3,1995
mouth,7,1995
offering,7,1995
old,9,1995
people,66,1995
pharaoh,0,1995
praise,1,1995
priest,31,1995
prophet,0,1995
reign,0,1995
sacrifice,2,1995
said,66,1995
saw,6,1995
say,9,1995
says,3,1995
seen,1,1995
sent,21,1995
servant,22,1995
sin,3,1995
solomon,0,1995
son,49,1995
sovereign,1,1995
speak,0,1995
spirit,0,1995
taken,15,1995
tell,11,1995
thing,6,1995
tribe,60,1995
wa,57,1995
went,53,1995
wife,0,1995
word,9,1995
year,5,1995
aaron,1,1996
almighty,0,1996
altar,10,1996
babylon,0,1996
burnt,6,1996
came,53,1996
christ,0,1996
city,38,1996
come,45,1996
commanded,1,1996
daughter,14,1996
daughters,1,1996
david,0,1996
day,50,1996
declares,0,1996
descendant,3,1996
doe,0,1996
father,29,1996
given,18,1996
goat,5,1996
god,73,1996
grain,4,1996
ha,29,1996
hand,44,1996
hear,3,1996
heart,3,1996
israel,98,1996
jeremiah,0,1996
jerusalem,4,1996
jesus,0,1996
judah,23,1996
king,40,1996
kingdom,0,1996
know,6,1996
lamb,0,1996
land,42,1996
let,19,1996
life,4,1996
like,11,1996
lord,170,1996
love,4,1996
male,1,1996
man,49,1996
men,112,1996
month,1,1996
moses,5,1996
mother,13,1996
