aaron,almighty,altar,babylon,burnt,came,christ,city,come,commanded,daughter,daughters,david,day,declares,descendant,doe,father,given,goat,god,grain,ha,hand,hear,heart,israel,jeremiah,jerusalem,jesus,judah,king,kingdom,know,lamb,land,let,life,like,lord,love,male,man,men,month,moses,mother,mouth,offering,old,people,pharaoh,praise,priest,prophet,reign,sacrifice,said,saw,say,says,seen,sent,servant,sin,solomon,son,sovereign,speak,spirit,taken,tell,thing,tribe,wa,went,wife,word,year,timeOfBook
8,17,5,3,6,13,0,20,87,5,7,1,14,96,0,12,42,16,13,1,423,6,122,113,44,127,65,0,17,0,8,57,11,46,0,66,157,74,168,786,153,0,77,95,0,8,6,52,13,9,114,2,216,4,2,4,16,27,7,55,4,11,11,44,34,0,28,7,29,20,7,18,27,9,68,9,2,66,13,book19
0,0,0,0,0,2,0,15,38,0,0,1,1,15,0,0,22,16,4,1,7,2,45,28,1,75,1,0,0,0,1,20,0,11,1,8,22,50,67,87,36,0,182,31,0,0,11,35,1,4,8,0,5,0,0,1,3,3,2,23,6,1,3,12,13,3,45,0,9,11,1,2,10,0,12,1,18,27,5,book20
0,0,0,0,0,4,0,5,20,0,0,0,1,20,0,0,16,0,3,0,41,0,36,9,1,29,1,0,5,0,0,9,1,23,0,4,7,14,12,1,6,1,56,19,0,0,0,4,0,3,5,0,1,0,0,0,2,4,13,14,0,9,0,2,1,0,4,0,1,4,3,3,8,0,22,0,1,10,3,book21
0,0,0,0,0,0,0,3,16,0,10,0,1,5,0,0,2,0,0,3,0,0,7,2,2,11,1,0,8,0,0,5,0,1,0,1,10,0,48,0,17,0,0,1,0,0,3,4,0,1,1,1,1,0,0,0,0,2,1,0,0,1,0,0,0,5,1,0,0,0,2,3,0,0,7,1,0,0,0,book22
0,63,12,13,4,14,0,53,113,2,18,2,9,112,25,9,19,16,12,3,122,13,147,81,35,31,86,0,48,0,28,76,13,40,9,83,67,14,186,478,13,0,45,50,2,2,5,27,9,15,147,3,17,6,8,5,7,45,9,105,54,10,18,34,26,0,48,18,13,34,17,16,23,2,63,13,3,36,17,book23
0,82,2,161,6,57,0,82,100,12,22,6,10,90,176,11,13,24,9,1,141,9,144,61,36,41,119,125,107,0,179,238,12,38,2,176,63,23,129,696,9,4,50,83,12,1,11,7,19,7,226,7,5,34,78,13,5,102,7,112,132,5,38,16,23,1,161,9,19,1,20,40,21,2,80,27,12,119,36,book24
0,0,1,0,0,1,0,7,5,0,15,0,0,17,0,0,1,1,1,0,1,0,69,12,0,8,3,0,7,0,5,3,1,0,0,2,10,6,22,44,2,0,5,11,0,0,1,4,0,4,13,0,0,5,4,1,0,1,1,7,0,4,2,0,4,0,1,0,1,1,0,0,3,0,11,0,0,1,0,book25
0,2,23,16,19,70,0,52,61,6,24,9,4,98,85,2,34,20,11,4,40,16,75,78,19,31,170,0,26,0,17,33,3,82,7,156,20,11,74,442,3,5,164,54,20,0,9,12,50,2,120,12,0,18,14,0,11,64,37,106,117,14,9,8,61,0,121,217,20,25,6,10,34,8,185,40,7,72,26,book26
0,0,0,15,0,22,0,6,21,3,2,0,0,15,0,0,5,11,16,4,75,0,31,15,6,5,3,1,10,0,7,152,46,12,0,7,10,5,32,28,2,0,23,44,2,2,0,6,2,0,29,0,4,0,1,8,7,35,13,3,0,3,5,11,6,0,6,5,4,6,4,24,6,0,115,9,4,9,10,book27
0,1,4,0,1,3,0,2,15,0,4,0,1,25,4,0,4,0,2,0,30,6,17,4,3,5,34,0,0,0,14,18,1,2,1,12,8,0,58,49,20,0,7,4,0,0,4,1,2,1,24,0,0,2,5,2,10,10,2,8,0,2,1,0,13,0,5,0,3,2,2,0,4,1,11,2,4,4,0,book28
0,1,2,0,0,1,0,1,5,0,2,0,0,12,1,0,0,0,1,0,11,7,17,1,1,2,3,0,6,0,6,0,0,2,0,10,9,0,12,32,1,0,0,4,0,0,0,0,6,2,15,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,2,0,2,0,0,1,0,0,1,1,book29
0,9,4,0,1,0,0,8,4,1,1,0,1,17,21,0,6,1,2,0,15,5,11,4,6,1,27,0,2,0,4,8,2,2,1,20,1,2,11,86,2,0,3,6,1,0,0,1,3,0,13,0,0,1,3,1,2,8,2,15,14,0,3,1,10,0,6,19,0,0,3,1,0,0,10,0,1,7,3,book30
0,0,0,0,0,2,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,1,0,0,2,1,0,2,6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,book31
0,0,0,0,0,2,0,6,5,1,0,0,0,4,0,0,0,0,0,0,15,0,3,1,0,1,0,0,0,0,0,2,0,1,0,3,7,4,0,26,1,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,2,9,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,10,5,0,3,0,book32
1,1,0,1,1,2,0,5,18,0,6,0,0,14,2,0,3,2,0,0,12,0,8,4,5,0,11,0,8,0,2,5,0,3,0,8,5,1,24,40,2,0,6,5,0,1,1,1,0,2,18,0,0,1,4,1,0,3,1,5,4,0,1,0,6,0,2,1,1,2,1,2,0,0,0,0,0,3,1,book33
0,2,0,0,0,0,0,3,2,0,0,0,0,2,2,1,0,0,1,0,1,0,4,1,0,1,1,0,0,0,2,1,1,1,0,2,0,0,14,13,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,book34
0,1,0,0,0,2,0,3,5,0,0,0,0,3,0,0,1,0,0,0,4,0,2,2,0,1,0,0,0,0,0,1,0,0,0,3,1,3,9,12,0,0,1,2,0,0,0,0,0,0,4,0,1,0,2,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,book35
0,2,0,0,0,1,0,6,3,0,2,0,0,21,5,0,4,0,0,0,6,0,6,3,0,1,4,0,4,0,3,2,1,1,0,8,1,0,7,30,1,0,1,3,0,0,0,0,0,0,7,0,2,1,1,1,2,2,0,2,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,2,0,book36
0,14,0,0,0,8,0,0,2,0,0,0,0,11,12,0,4,0,0,0,3,1,1,1,0,0,0,0,0,0,4,2,0,0,0,2,0,0,2,31,0,0,0,1,6,0,0,0,0,0,8,0,0,8,5,0,0,2,1,4,6,0,1,1,0,0,10,0,1,4,0,1,1,0,2,1,0,5,3,book37
0,53,2,2,0,11,0,8,13,1,4,0,6,30,19,0,0,2,3,0,13,1,15,11,1,4,5,0,40,0,23,8,0,6,0,22,6,0,23,138,2,0,13,12,9,0,1,1,0,1,23,0,1,5,8,0,1,18,0,15,20,0,8,2,3,0,8,1,2,7,2,4,3,1,24,2,1,19,5,book38
0,24,3,0,0,0,0,0,4,0,1,0,0,7,0,1,1,5,0,0,9,0,5,0,0,4,5,0,2,0,3,1,0,1,0,3,0,1,5,47,0,1,3,2,0,1,0,2,8,0,2,0,0,1,1,0,3,3,0,26,2,0,1,2,1,0,2,0,0,3,0,0,3,0,5,0,3,1,0,book39
0,0,6,3,0,90,17,13,81,4,8,0,16,47,0,1,18,99,17,1,49,1,56,32,16,17,12,3,13,212,4,21,55,27,0,9,28,21,35,50,17,1,110,47,0,7,28,8,1,4,46,0,3,27,32,0,2,162,36,48,4,6,19,38,14,4,90,0,7,19,10,83,24,1,158,82,16,21,2,book40
0,0,0,0,1,58,8,4,52,2,7,0,6,26,0,0,14,17,10,0,50,3,37,28,15,8,2,0,11,202,0,11,20,21,1,2,24,9,20,17,6,1,79,20,1,9,18,2,2,4,45,0,0,20,6,0,2,125,32,30,0,5,18,8,9,0,38,0,5,23,4,30,16,0,104,57,7,15,1,book41
1,0,2,0,0,70,12,6,82,2,7,1,13,58,1,3,22,50,16,1,118,3,94,30,22,16,12,0,32,222,2,15,44,31,2,3,19,20,32,74,17,1,125,43,4,10,18,3,0,10,82,0,5,16,24,2,2,200,39,51,8,11,36,37,10,2,147,1,11,33,13,67,39,2,231,68,12,23,11,book42
0,0,0,0,0,50,19,1,95,4,1,0,1,33,0,1,28,121,27,0,76,0,84,12,10,4,3,0,13,275,0,16,4,86,2,0,15,52,6,39,35,0,97,13,1,13,9,0,2,3,25,0,5,19,11,0,0,200,33,35,3,24,55,9,15,0,63,0,12,24,7,45,22,0,188,49,1,38,5,book43
1,0,1,1,0,61,24,44,38,5,3,0,10,82,0,4,8,28,7,0,160,2,58,35,17,17,17,0,59,74,0,20,8,37,1,13,22,16,13,102,0,0,71,103,2,23,3,7,3,3,91,2,1,23,22,1,3,135,34,16,3,14,43,11,8,1,15,1,25,67,15,14,8,2,243,78,5,37,12,book44
0,1,0,0,0,4,65,0,17,0,0,0,3,9,1,3,24,13,6,0,129,0,41,2,4,13,12,0,4,36,0,0,1,21,0,0,14,26,8,44,15,0,38,13,0,4,2,6,2,2,16,1,5,0,3,3,1,5,0,23,10,2,1,6,52,0,10,0,3,34,1,1,13,1,49,0,0,8,2,book45
0,0,3,0,0,7,60,0,29,1,0,0,0,6,0,0,28,4,10,0,93,1,62,5,1,2,1,0,1,26,0,2,5,32,1,0,8,8,13,59,18,1,59,21,0,2,0,0,0,2,11,0,4,0,3,1,4,3,0,23,5,2,0,1,9,0,3,0,18,38,1,2,24,0,30,0,16,10,1,book46
