topic,value,year
topic10,3,1015
topic11,1,1015
topic12,12,1015
topic13,3,1015
topic14,2,1015
topic15,1,1015
topic16,6,1015
topic17,8,1015
topic18,6,1015
topic19,10,1015
topic0,2,1016
topic1,1,1016
topic2,0,1016
topic3,0,1016
topic4,0,1016
topic5,1,1016
topic6,4,1016
topic7,0,1016
topic8,2,1016
topic9,1,1016
topic10,1,1016
topic11,0,1016
topic12,5,1016
topic13,0,1016
topic14,0,1016
topic15,0,1016
topic16,2,1016
topic17,2,1016
topic18,2,1016
topic19,2,1016
topic0,3,1017
topic1,4,1017
topic2,20,1017
topic3,1,1017
topic4,7,1017
topic5,21,1017
topic6,8,1017
topic7,12,1017
topic8,15,1017
topic9,13,1017
topic10,18,1017
topic11,4,1017
topic12,5,1017
topic13,19,1017
topic14,4,1017
topic15,7,1017
topic16,2,1017
topic17,5,1017
topic18,1,1017
topic19,8,1017
topic0,17,1018
topic1,42,1018
topic2,125,1018
topic3,2,1018
topic4,7,1018
topic5,23,1018
topic6,22,1018
topic7,65,1018
topic8,16,1018
topic9,75,1018
topic10,14,1018
topic11,11,1018
topic12,40,1018
topic13,98,1018
topic14,10,1018
topic15,10,1018
topic16,31,1018
topic17,27,1018
topic18,33,1018
topic19,49,1018
topic0,4,1019
topic1,9,1019
topic2,25,1019
topic3,0,1019
topic4,2,1019
topic5,12,1019
topic6,6,1019
topic7,6,1019
topic8,17,1019
topic9,15,1019
topic10,10,1019
topic11,4,1019
topic12,8,1019
topic13,18,1019
topic14,2,1019
topic15,6,1019
topic16,4,1019
topic17,3,1019
topic18,6,1019
topic19,7,1019
topic0,1,1020
topic1,5,1020
topic2,10,1020
topic3,0,1020
topic4,0,1020
topic5,7,1020
topic6,1,1020
topic7,6,1020
topic8,1,1020
topic9,1,1020
topic10,6,1020
topic11,0,1020
topic12,2,1020
topic13,2,1020
topic14,0,1020
topic15,0,1020
topic16,3,1020
topic17,0,1020
topic18,1,1020
topic19,2,1020
topic0,0,1021
topic1,3,1021
topic2,0,1021
topic3,0,1021
topic4,0,1021
topic5,0,1021
topic6,0,1021
topic7,1,1021
topic8,1,1021
topic9,1,1021
topic10,0,1021
topic11,0,1021
topic12,2,1021
topic13,1,1021
topic14,0,1021
topic15,2,1021
topic16,0,1021
topic17,0,1021
topic18,1,1021
topic19,3,1021
topic0,9,1022
topic1,32,1022
topic2,50,1022
topic3,6,1022
topic4,3,1022
topic5,3,1022
topic6,16,1022
topic7,41,1022
topic8,15,1022
topic9,39,1022
topic10,10,1022
topic11,8,1022
topic12,41,1022
topic13,53,1022
topic14,5,1022
topic15,4,1022
topic16,13,1022
topic17,8,1022
topic18,20,1022
topic19,50,1022
topic0,6,1023
topic1,44,1023
topic2,128,1023
topic3,5,1023
topic4,6,1023
topic5,9,1023
topic6,7,1023
topic7,29,1023
topic8,27,1023
topic9,129,1023
topic10,13,1023
topic11,0,1023
topic12,89,1023
topic13,135,1023
topic14,0,1023
topic15,4,1023
topic16,16,1023
topic17,2,1023
topic18,29,1023
topic19,51,1023
topic0,2,1024
topic1,3,1024
topic2,6,1024
topic3,0,1024
topic4,0,1024
topic5,1,1024
topic6,0,1024
topic7,0,1024
topic8,1,1024
topic9,7,1024
topic10,2,1024
topic11,1,1024
topic12,6,1024
topic13,8,1024
topic14,0,1024
topic15,0,1024
topic16,2,1024
topic17,0,1024
topic18,2,1024
topic19,4,1024
topic0,10,1025
topic1,41,1025
topic2,122,1025
topic3,1,1025
topic4,6,1025
topic5,12,1025
topic6,12,1025
topic7,44,1025
topic8,31,1025
topic9,128,1025
topic10,13,1025
topic11,4,1025
topic12,60,1025
topic13,132,1025
topic14,1,1025
topic15,5,1025
topic16,8,1025
topic17,7,1025
topic18,16,1025
topic19,62,1025
topic0,2,1026
topic1,4,1026
topic2,4,1026
topic3,0,1026
topic4,0,1026
topic5,4,1026
topic6,11,1026
topic7,4,1026
topic8,2,1026
topic9,2,1026
topic10,4,1026
topic11,0,1026
topic12,17,1026
topic13,2,1026
topic14,0,1026
topic15,3,1026
topic16,6,1026
topic17,1,1026
topic18,2,1026
topic19,5,1026
topic0,1,1027
topic1,2,1027
topic2,14,1027
topic3,0,1027
topic4,2,1027
topic5,0,1027
topic6,1,1027
topic7,9,1027
topic8,4,1027
topic9,8,1027
topic10,0,1027
topic11,2,1027
topic12,5,1027
topic13,8,1027
topic14,3,1027
topic15,0,1027
topic16,0,1027
topic17,0,1027
topic18,1,1027
topic19,5,1027
topic0,2,1028
topic1,2,1028
topic2,8,1028
topic3,0,1028
topic4,0,1028
topic5,0,1028
topic6,1,1028
topic7,5,1028
topic8,1,1028
topic9,5,1028
topic10,1,1028
topic11,0,1028
topic12,2,1028
topic13,6,1028
topic14,0,1028
topic15,0,1028
topic16,0,1028
topic17,0,1028
topic18,1,1028
topic19,4,1028
topic0,3,1029
topic1,5,1029
topic2,19,1029
topic3,0,1029
topic4,1,1029
topic5,0,1029
topic6,2,1029
topic7,5,1029
topic8,6,1029
topic9,24,1029
topic10,1,1029
topic11,1,1029
topic12,9,1029
topic13,24,1029
topic14,0,1029
topic15,0,1029
topic16,4,1029
