"5","0.374","0.382"
"10","0.19711111111111093","0.1935555555555553"
"20","0.09839473684210581","0.09815789473684249"
"30","0.06636781609195529","0.06561685823754883"
"40","0.049923076923075474","0.049378205128203914"
"50","0.03989387755102189","0.03956571428571537"
"60","0.03330037664783311","0.03302448210922686"
"70","0.028548358473824153","0.02833717834960073"
"80","0.024992088607597912","0.024829509493673876"
"90","0.022206963517823787","0.022089332778470375"
"100","0.01999555555555833","0.019887878787881515"
